stones,actors,simulations,sample,variant,nodes,wall_seconds,build_seconds,peak_kib
20,2,64,0,baseline,130,0.013906403008149937,0.012229,12576
20,2,64,0,supports,130,0.015887396002653986,0.014398,12932
80,2,64,0,baseline,130,0.10901077899325173,0.107347,12492
80,2,64,0,supports,130,0.14031441099359654,0.138389,14612
160,2,64,0,baseline,130,0.5904252430045744,0.588369,12808
160,2,64,0,supports,130,0.7006081849976908,0.698594,14908
