actor=31 SupportMetrics { calls: 2800, hits: 2098, builds: 702, evictions: 638, oversized: 0, peak_retained_bytes: 336704 }
actor=28 SupportMetrics { calls: 2800, hits: 2152, builds: 648, evictions: 584, oversized: 0, peak_retained_bytes: 337808 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=29 SupportMetrics { calls: 2800, hits: 2173, builds: 627, evictions: 563, oversized: 0, peak_retained_bytes: 339208 }
actor=24 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 338016 }
actor=12 SupportMetrics { calls: 2800, hits: 2062, builds: 738, evictions: 674, oversized: 0, peak_retained_bytes: 337064 }
actor=23 SupportMetrics { calls: 2800, hits: 2154, builds: 646, evictions: 582, oversized: 0, peak_retained_bytes: 339408 }
actor=8 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 339976 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=10 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339184 }
actor=20 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 340416 }
actor=25 SupportMetrics { calls: 2800, hits: 2118, builds: 682, evictions: 618, oversized: 0, peak_retained_bytes: 338040 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=29 SupportMetrics { calls: 2800, hits: 2173, builds: 627, evictions: 563, oversized: 0, peak_retained_bytes: 339208 }
actor=25 SupportMetrics { calls: 2800, hits: 2118, builds: 682, evictions: 618, oversized: 0, peak_retained_bytes: 338040 }
actor=22 SupportMetrics { calls: 2800, hits: 2057, builds: 743, evictions: 679, oversized: 0, peak_retained_bytes: 337872 }
