radius,workers,sample,variant,games,completed,plies,simulations,nodes,seconds,plies_per_second,nodes_per_second,result_sha256
0.02631578947368421,1,0,before,4,0,256,16384,16384,1.598277,160.1724857455873,10251.039087717587,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,0,after,4,0,256,16384,16384,1.466007,174.6239956562281,11175.935721998598,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,1,after,4,0,256,16384,16384,1.467852,174.40450399631573,11161.888255764206,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,1,before,4,0,256,16384,16384,1.595898,160.4112543533484,10266.320278614297,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,2,before,4,0,256,16384,16384,1.596155,160.38542622740272,10264.667278553774,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,2,after,4,0,256,16384,16384,1.475337,173.51967719917553,11105.259340747234,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,3,after,4,0,256,16384,16384,1.475146,173.54214430300456,11106.697235392292,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,3,before,4,0,256,16384,16384,1.58948,161.0589626796185,10307.773611495584,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,4,before,4,0,256,16384,16384,1.584142,161.60167459735302,10342.507174230594,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,4,after,4,0,256,16384,16384,1.456841,175.72267666821568,11246.251306765804,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
