fixture,actors,simulations,sample,variant,nodes,wall_seconds,build_seconds,peak_kib
80,1,64,0,baseline,65,0.05717212299350649,0.05423,8256
80,1,64,0,supports,65,0.08888959500472993,0.086461,9332
160,1,64,0,baseline,65,0.1344163389876485,0.131822,8396
160,1,64,0,supports,65,0.24896594599704258,0.245768,9648
240,1,64,0,baseline,65,0.39888216998951975,0.396132,7972
240,1,64,0,supports,65,0.67752213399217,0.674382,9284
