radius,workers,sample,variant,games,completed,plies,simulations,nodes,seconds,plies_per_second,nodes_per_second,result_sha256
0.02631578947368421,1,0,before,4,0,256,16384,16384,1.62654,157.38930490489014,10072.915513912969,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,0,after,4,0,256,16384,16384,1.606586,159.34409984899656,10198.02239033578,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,1,after,4,0,256,16384,16384,1.61127,158.88088278190497,10168.376498041918,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,1,before,4,0,256,16384,16384,1.618017,158.21836235342397,10125.975190619134,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,2,before,4,0,256,16384,16384,1.61983,158.0412759363637,10114.641659927276,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,2,after,4,0,256,16384,16384,1.618776,158.1441780703445,10121.227396502049,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,3,after,4,0,256,16384,16384,1.622722,157.75961624973348,10096.615439982943,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,3,before,4,0,256,16384,16384,1.604959,159.50563223110373,10208.360462790639,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,4,before,4,0,256,16384,16384,1.643711,155.74514011283006,9967.688967221124,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
0.02631578947368421,1,4,after,4,0,256,16384,16384,1.619483,158.07513879429422,10116.80888283483,1fb29a9bb5dee8b6b55dfa94e31539d9bd30286c6a64f7e96e147947cfe3333c
